codart;quantita;descrizione;note
800.5000.2;2;ETER FER LUCIDO 2 BIANCO BASE P/T LT2,5;ral 9010
800.5004.3;6;ETER FER LUCIDO 4 GRIGIO CHIARO ML750;
800.5016.3;30;ETER FER LUCIDO 16 AZZURRO SICILIA ML750IN ESAURIMENTO;
800.5019.3;18;ETER FER LUCIDO 19 ROSSO VIVO ML750;
