codart;quantita;descrizione;note
8.8302.8;6;IL DECIMINO H2O COLORE 302 ML125;urgente
800.7041.8;12;IL DECIMINO 41 BIANCO LUCIDO ML125;
90ESA14;1;EMULAC SETA BASE A LT12,67;
90ESA750;12;EMULAC SETA BASE A ML679;
90ESP2_5;1;EMULAC SETA BASE P LT2,5;
90TBM2_5;1;EMULAC SETA TINTA BASE MARRONE LT2,5;
T.CFIAXX;2;COL. AXX GIALLO CHIARO LT1 COLORFUSION I;
