codart;quantita;descrizione;note
800.5000.3;6;ETER FER LUCIDO 2 BIANCO BASE P/T ML750;
800.5000A.3;6;ETER FER LUCIDO BASE A ML679;
800.5011.3;6;ETER FER LUCIDO 11 AVORIO ML750;
800.5015.3;6;ETER FER MICACEO 15 FERRO ANTICO ML750;
800.5016.3;6;ETER FER LUCIDO 16 AZZURRO SICILIA ML750IN ESAURIMENTO;
